"ensembl_gene_id","external_gene_name","hsapiens_homolog_ensembl_gene","hsapiens_homolog_associated_gene_name"
"ENSMUSG00000038398","Upf3a","ENSG00000169062","UPF3A"
"ENSMUSG00000112417","A430028G04Rik","",""
"ENSMUSG00000098442","Mir6959","",""
"ENSMUSG00000054136","Adm2","ENSG00000128165","ADM2"
"ENSMUSG00000031142","Cacna1f","ENSG00000102001","CACNA1F"
"ENSMUSG00000111957","Gm47582","",""
"ENSMUSG00000000305","Cdh4","ENSG00000179242","CDH4"
"ENSMUSG00000021922","Itih4","ENSG00000055955","ITIH4"
"ENSMUSG00000079143","Atxn7l1os1","",""
"ENSMUSG00000063428","Ddo","ENSG00000203797","DDO"
"ENSMUSG00000114256","Gm29844","",""
"ENSMUSG00000114778","Gm9634","",""
"ENSMUSG00000097018","Gm26872","",""
"ENSMUSG00000114809","Atp5c1-ps","",""
"ENSMUSG00000098302","Gm28039","",""
"ENSMUSG00000020562","Efcab10","ENSG00000185055","EFCAB10"
"ENSMUSG00000088521","Gm26088","",""
"ENSMUSG00000022613","Miox","ENSG00000100253","MIOX"
"ENSMUSG00000101237","Gm29464","",""
"ENSMUSG00000021413","Prpf4b","ENSG00000112739","PRP4K"
"ENSMUSG00000027719","Adad1","ENSG00000164113","ADAD1"
"ENSMUSG00000018581","Dnah11","ENSG00000105877","DNAH11"
"ENSMUSG00000070733","Fryl","ENSG00000075539","FRYL"
"ENSMUSG00000100155","Gm2109","",""
"ENSMUSG00000046460","Sh2d7","ENSG00000183476","SH2D7"
"ENSMUSG00000057116","Semp2l2a","ENSG00000163904","SENP2"
"ENSMUSG00000047710","Champ1","ENSG00000198824","CHAMP1"
"ENSMUSG00000087322","Gm16075","",""
"ENSMUSG00000053783","Liat1","ENSG00000187624","LIAT1"
"ENSMUSG00000032691","Nlrp3","ENSG00000162711","NLRP3"
"ENSMUSG00002075788","Gm54935","",""
"ENSMUSG00002075686","Gm54919","",""
"ENSMUSG00000093721","Gm3896","",""
"ENSMUSG00000065817","Gm24698","ENSG00000251778",""
"ENSMUSG00000065817","Gm24698","ENSG00000200983","SNORA3A"
"ENSMUSG00000031458","Coprs","ENSG00000172301","COPRS"
"ENSMUSG00002076608","Gm54936","",""
"ENSMUSG00000089102","Gm23113","",""
"ENSMUSG00000111254","Gm48717","",""
"ENSMUSG00000025171","Ubtd1","ENSG00000165886","UBTD1"
"ENSMUSG00000108622","Gm36864","",""
"ENSMUSG00002076938","Gm54937","ENSG00000199787","SNORA80C"
"ENSMUSG00000037493","Cib2","ENSG00000136425","CIB2"
"ENSMUSG00002075429","Gm55192","",""
"ENSMUSG00000083410","Gm14300","",""
"ENSMUSG00000098540","Mir7059","",""
"ENSMUSG00000054966","Lmntd1","ENSG00000152936","LMNTD1"
"ENSMUSG00000042759","Apobr","ENSG00000184730","APOBR"
"ENSMUSG00000025172","Ankrd2","ENSG00000165887","ANKRD2"
"ENSMUSG00000042662","Dusp15","ENSG00000149599","DUSP15"
"ENSMUSG00000081783","Gm15599","",""
"ENSMUSG00000065406","Mirlet7i","ENSG00000199179","MIRLET7I"
"ENSMUSG00000045555","Mettl24","ENSG00000053328","METTL24"
"ENSMUSG00000031627","Irf2","ENSG00000168310","IRF2"
"ENSMUSG00000004945","Tmem242","ENSG00000215712","TMEM242"
"ENSMUSG00000081705","Gm12582","",""
"ENSMUSG00000032262","Elovl4","ENSG00000118402","ELOVL4"
"ENSMUSG00000082878","Gm12583","",""
"ENSMUSG00000083857","Gm12584","",""
"ENSMUSG00000027720","Il2","ENSG00000109471","IL2"
"ENSMUSG00000038446","Cdc40","ENSG00000168438","CDC40"
"ENSMUSG00000117831","Gm6995","",""
"ENSMUSG00000056069","Otulinl","ENSG00000145569","OTULINL"
"ENSMUSG00000025176","Hoga1","ENSG00000241935","HOGA1"
"ENSMUSG00002074977","Gm54866","",""
"ENSMUSG00000118316","Gm31908","",""
"ENSMUSG00000028086","Fbxw7","ENSG00000109670","FBXW7"
"ENSMUSG00000032121","Tmem218","ENSG00000150433","TMEM218"
"ENSMUSG00002075795","Gm54867","",""
"ENSMUSG00000015709","Arnt2","ENSG00000172379","ARNT2"
"ENSMUSG00000037253","Mex3c","ENSG00000176624","MEX3C"
"ENSMUSG00000039105","Atp6v1g1","ENSG00000136888","ATP6V1G1"
"ENSMUSG00000064527","Gm26438","ENSG00000202399","Y_RNA"
"ENSMUSG00002076644","Gm54869","",""
"ENSMUSG00000024515","Smad4","ENSG00000141646","SMAD4"
"ENSMUSG00000101959","Ldhal6b","ENSG00000171989","LDHAL6B"
"ENSMUSG00000028972","Car6","ENSG00000131686","CA6"
"ENSMUSG00002075241","Gm55021","",""
"ENSMUSG00000116691","Gm8363","",""
"ENSMUSG00000034265","Zdhhc14","ENSG00000175048","ZDHHC14"
"ENSMUSG00000032279","Idh3a","ENSG00000166411","IDH3A"
"ENSMUSG00000088362","Gm23498","",""
"ENSMUSG00000108368","Gm45053","",""
"ENSMUSG00000020846","Rflnb","ENSG00000183688","RFLNB"
"ENSMUSG00000047867","Gimap6","ENSG00000133561","GIMAP6"
"ENSMUSG00000039117","Taf4","ENSG00000130699","TAF4"
"ENSMUSG00000090369","4933411K16Rik","ENSG00000203942","C10orf62"
"ENSMUSG00000049670","Morn4","ENSG00000171160","MORN4"
"ENSMUSG00000059610","Or2b11","ENSG00000177535","OR2B11"
"ENSMUSG00000075829","Gm23692","",""
"ENSMUSG00000116589","Gm31323","",""
"ENSMUSG00000022898","Vps26c","ENSG00000157538","VPS26C"
"ENSMUSG00000081262","Gm12261","",""
"ENSMUSG00000088781","Gm25373","",""
"ENSMUSG00000048919","Or2aa1","",""
"ENSMUSG00000098715","Gm28053","",""
"ENSMUSG00002076954","Gm54942","ENSG00000253006","RN7SKP283"
"ENSMUSG00002076954","Gm54942","ENSG00000252886","RN7SKP197"
"ENSMUSG00000082140","Gm13094","",""
"ENSMUSG00000108457","Gm5027","",""
"ENSMUSG00000019831","Wasf1","ENSG00000112290","WASF1"
"ENSMUSG00000045917","Tmem268","ENSG00000157693","TMEM268"
"ENSMUSG00000025178","Pi4k2a","ENSG00000155252","PI4K2A"
"ENSMUSG00000068120","Gm10231","",""
"ENSMUSG00000067338","Tuba3b","ENSG00000152086","TUBA3E"
"ENSMUSG00000017195","Zpbp2","ENSG00000186075","ZPBP2"
"ENSMUSG00000097186","Gm26595","",""
"ENSMUSG00000096962","Gm26622","",""
"ENSMUSG00000002365","Snx9","ENSG00000130340","SNX9"
"ENSMUSG00000056429","Tgoln1","ENSG00000152291","TGOLN2"
"ENSMUSG00000109751","Gm45479","",""
"ENSMUSG00000110414","Gm45481","",""
"ENSMUSG00000118185","Gm50126","",""
"ENSMUSG00000022897","Dyrk1a","ENSG00000157540","DYRK1A"
"ENSMUSG00000118321","Gm17943","",""
"ENSMUSG00000031731","Ap1g1","ENSG00000166747","AP1G1"
"ENSMUSG00000036941","Elac1","ENSG00000141642","ELAC1"
"ENSMUSG00000082850","Gm14299","",""
"ENSMUSG00000021414","Fam217a","ENSG00000145975","FAM217A"
"ENSMUSG00000018821","Avpi1","ENSG00000119986","AVPI1"
"ENSMUSG00000039108","Lsm14b","ENSG00000149657","LSM14B"
"ENSMUSG00000110889","Gm19611","",""
"ENSMUSG00000116734","Gm8376","",""
"ENSMUSG00000046922","Gpr6","ENSG00000146360","GPR6"
"ENSMUSG00000092386","Gm20536","",""
"ENSMUSG00000043931","Gimap7","ENSG00000179144","GIMAP7"
"ENSMUSG00000024556","Me2","ENSG00000082212","ME2"
"ENSMUSG00000038417","Fig4","ENSG00000112367","FIG4"
"ENSMUSG00000044345","Marveld1","ENSG00000155254","MARVELD1"
"ENSMUSG00000083943","Gm11483","",""
"ENSMUSG00000119757","Gm24448","",""
"ENSMUSG00000084782","Tex53","",""
"ENSMUSG00000058935","Tex48","ENSG00000230601","TEX48"
"ENSMUSG00000030259","Rassf8","ENSG00000123094","RASSF8"
"ENSMUSG00000021415","Tex56","",""
"ENSMUSG00000042401","Crtac1","ENSG00000095713","CRTAC1"
"ENSMUSG00000024044","Epb41l3","ENSG00000082397","EPB41L3"
"ENSMUSG00000077504","Gm24234","",""
"ENSMUSG00000063524","Eno1","ENSG00000074800","ENO1"
"ENSMUSG00000022614","Lmf2","ENSG00000100258","LMF2"
"ENSMUSG00000090019","Gimap1","ENSG00000213203","GIMAP1"
"ENSMUSG00000021069","Pygl","ENSG00000100504","PYGL"
"ENSMUSG00000098209","Gm8245","",""
"ENSMUSG00000021416","Eci3","ENSG00000198721","ECI2"
"ENSMUSG00000027566","Psma7","ENSG00000101182","PSMA7"
"ENSMUSG00000027718","Il21","ENSG00000138684","IL21"
"ENSMUSG00000024561","Mbd1","ENSG00000141644","MBD1"
"ENSMUSG00000043505","Gimap5","ENSG00000196329","GIMAP5"
"ENSMUSG00000086517","Gm12534","",""
"ENSMUSG00000119191","Gm25526","",""
"ENSMUSG00000104998","Gm43822","",""
"ENSMUSG00002075204","Gm54773","",""
"ENSMUSG00000091415","Ak9","ENSG00000155085","AK9"
"ENSMUSG00000102919","Gm37726","",""
"ENSMUSG00000108298","Gm44226","",""
"ENSMUSG00000107481","4833403J16Rik","",""
"ENSMUSG00000030256","Bhlhe41","ENSG00000123095","BHLHE41"
"ENSMUSG00000040086","Tnni3k","ENSG00000116783","TNNI3K"
"ENSMUSG00000038379","Ttk","ENSG00000112742","TTK"
"ENSMUSG00000113066","Gm47217","",""
"ENSMUSG00000110822","Gm18305","",""
"ENSMUSG00000111601","Gm18986","",""
"ENSMUSG00000119364","Gm25626","",""
"ENSMUSG00000034928","Rnf44","ENSG00000146083","RNF44"
"ENSMUSG00000111315","Gm47473","",""
"ENSMUSG00002076974","Gm54946","",""
"ENSMUSG00000112140","Gm5780","",""
"ENSMUSG00002075767","Gm54979","",""
"ENSMUSG00000112153","Gm47591","",""
"ENSMUSG00000111909","Gm18670","",""
"ENSMUSG00000039086","Ss18l1","ENSG00000184402","SS18L1"
"ENSMUSG00000112507","Gm47589","",""
"ENSMUSG00000112015","Gm47592","",""
"ENSMUSG00000112601","Gm47590","",""
"ENSMUSG00000022263","Trio","ENSG00000038382","TRIO"
"ENSMUSG00000108126","Gm43909","",""
"ENSMUSG00000039264","Gimap3","ENSG00000196329","GIMAP5"
"ENSMUSG00000028362","Tnfsf8","ENSG00000106952","TNFSF8"
"ENSMUSG00000107171","Gm42572","",""
"ENSMUSG00000085298","F730035M05Rik","",""
"ENSMUSG00000107109","Gm42571","",""
"ENSMUSG00000090561","Gm17207","",""
"ENSMUSG00000107574","Gm17834","",""
"ENSMUSG00000038770","Kpna7","ENSG00000185467","KPNA7"
"ENSMUSG00000034602","Mon2","ENSG00000061987","MON2"
"ENSMUSG00000020463","Ppp4r3b","ENSG00000275052","PPP4R3B"
"ENSMUSG00000113831","Gm49602","",""
"ENSMUSG00000020561","Polr1f","ENSG00000105849","POLR1F"
"ENSMUSG00000064080","Fbln2","ENSG00000163520","FBLN2"
"ENSMUSG00000117706","Gm50184","",""
"ENSMUSG00000117728","Gm34299","",""
"ENSMUSG00000081692","Gm15971","",""
"ENSMUSG00000085766","2810430I11Rik","",""
"ENSMUSG00000116822","Gm41504","",""
"ENSMUSG00000084345","Rpl17-ps4","",""
"ENSMUSG00000025184","R3hcc1l","ENSG00000166024","R3HCC1L"
"ENSMUSG00000022747","St3gal6","ENSG00000064225","ST3GAL6"
"ENSMUSG00000039852","Rere","ENSG00000142599","RERE"
"ENSMUSG00000039069","Mtg2","ENSG00000101181","MTG2"
"ENSMUSG00000119573","Gm23529","",""
"ENSMUSG00000112076","Gm9368","",""
"ENSMUSG00000114064","Gm9370","",""
"ENSMUSG00000046518","Ferd3l","ENSG00000146618","FERD3L"
"ENSMUSG00000035799","Twist1","ENSG00000122691","TWIST1"
"ENSMUSG00000025323","Sp4","ENSG00000105866","SP4"
"ENSMUSG00000025185","Loxl4","ENSG00000138131","LOXL4"
"ENSMUSG00000119869","Gm25577","",""
"ENSMUSG00000114034","Gm9267","",""
"ENSMUSG00000113546","Gm18441","",""
"ENSMUSG00002076723","Gm54737","",""
"ENSMUSG00000113633","Gm29689","",""
"ENSMUSG00000074673","Ttll9","ENSG00000131044","TTLL9"
"ENSMUSG00000113169","Gm6171","",""
"ENSMUSG00000048562","Sp8","ENSG00000164651","SP8"
"ENSMUSG00000072791","Abcb5","ENSG00000004846","ABCB5"
"ENSMUSG00000044701","Il27","ENSG00000197272","IL27"
"ENSMUSG00000106999","Gm42734","",""
"ENSMUSG00000105177","Gm43563","",""
"ENSMUSG00000085787","Gm13092","",""
"ENSMUSG00000061707","Gm4871","",""
"ENSMUSG00002075295","Gm55126","ENSG00000252126","RNU6-313P"
"ENSMUSG00000119308","Gm25790","",""
"ENSMUSG00000097789","Ctxnd1","ENSG00000259417","CTXND1"
"ENSMUSG00000028364","Tnc","ENSG00000041982","TNC"
"ENSMUSG00000106393","Gm43562","",""
"ENSMUSG00000109422","Gm45174","",""
"ENSMUSG00000105024","Gm43561","",""
"ENSMUSG00000030717","Nupr1","ENSG00000176046","NUPR1"
"ENSMUSG00000106301","Gm8365","",""
"ENSMUSG00000029620","1700018F24Rik","",""
"ENSMUSG00000038365","Fbxo25","ENSG00000147364","FBXO25"
"ENSMUSG00000114030","Gm18921","",""
"ENSMUSG00000104290","Gm38041","",""
"ENSMUSG00000025321","Itgb8","ENSG00000105855","ITGB8"
"ENSMUSG00000102703","Gm38313","",""
"ENSMUSG00000118443","Gm18589","",""
"ENSMUSG00000077768","Gm25216","",""
"ENSMUSG00000038150","Ormdl3","ENSG00000172057","ORMDL3"
"ENSMUSG00000117804","Gm6252","",""
"ENSMUSG00000118480","Gm50458","",""
"ENSMUSG00000102238","Gm37890","",""
"ENSMUSG00000080424","Mir466k","",""
"ENSMUSG00002074975","Gm54990","",""
"ENSMUSG00000106422","Gm42812","",""
"ENSMUSG00000067608","Pcna-ps2","",""
"ENSMUSG00000109513","Gm44928","",""
"ENSMUSG00000029621","Arpc1a","ENSG00000241685","ARPC1A"
"ENSMUSG00000101398","Gm2617","",""
"ENSMUSG00000071640","Stxbp3-ps","",""
"ENSMUSG00000053870","Fpgt","ENSG00000254685","FPGT"
"ENSMUSG00000030630","Fah","ENSG00000103876","FAH"
"ENSMUSG00000096818","Gm29231","",""
"ENSMUSG00000086545","Lrrc3c","ENSG00000204913","LRRC3C"
"ENSMUSG00000060224","Pyroxd2","ENSG00000119943","PYROXD2"
"ENSMUSG00000078134","Srsf3-ps","",""
"ENSMUSG00000020462","Cfap36","ENSG00000163001","CFAP36"
"ENSMUSG00000116914","Gm20942","",""
"ENSMUSG00000075002","Ftdc1","",""
"ENSMUSG00000038173","Enpp6","ENSG00000164303","ENPP6"
"ENSMUSG00000035394","Cfap53","",""
"ENSMUSG00000055789","Ftdc2","",""
"ENSMUSG00000032281","Acsbg1","ENSG00000103740","ACSBG1"
"ENSMUSG00000064765","Gm26456","",""
"ENSMUSG00000021180","Rps6ka5","ENSG00000100784","RPS6KA5"
"ENSMUSG00000045031","Cetn4","",""
"ENSMUSG00000116579","Gm49701","",""
"ENSMUSG00000043301","Kcnj6","ENSG00000157542","KCNJ6"
"ENSMUSG00000043410","Hfm1","ENSG00000162669","HFM1"
"ENSMUSG00000064224","Gsdma3","ENSG00000167914","GSDMA"
"ENSMUSG00000006522","Itih3","ENSG00000162267","ITIH3"
"ENSMUSG00000030516","Tjp1","ENSG00000104067","TJP1"
"ENSMUSG00000110867","Gm7368","",""
"ENSMUSG00000068794","Col28a1","ENSG00000215018","COL28A1"
"ENSMUSG00000032122","Slc37a2","ENSG00000134955","SLC37A2"
"ENSMUSG00000050052","Tdrp","ENSG00000180190","TDRP"
"ENSMUSG00000095419","Gm14328","",""
"ENSMUSG00002076843","Gm54693","",""
"ENSMUSG00000116667","Gm49641","",""
"ENSMUSG00000117898","Gm8986","",""
"ENSMUSG00000116601","Gm49642","",""
"ENSMUSG00000106407","Gm43439","",""
"ENSMUSG00000022742","Cpox","ENSG00000080819","CPOX"
"ENSMUSG00000118303","Gm50168","",""
"ENSMUSG00000051444","Bbs12","ENSG00000181004","BBS12"
"ENSMUSG00000025885","Myo5b","ENSG00000167306","MYO5B"
"ENSMUSG00000083298","Gm12085","",""
"ENSMUSG00000080517","Gm23109","",""
"ENSMUSG00000080827","Gm12086","",""
"ENSMUSG00000082721","Gm12087","",""
"ENSMUSG00000017211","Gsdma2","ENSG00000167914","GSDMA"
"ENSMUSG00000083353","Gm12540","",""
"ENSMUSG00000054779","Fgf2os","",""
"ENSMUSG00000105063","Gm43488","",""
"ENSMUSG00000037225","Fgf2","ENSG00000138685","FGF2"
"ENSMUSG00000051978","Erich1","ENSG00000104714","ERICH1"
"ENSMUSG00000117756","Gm50320","",""
"ENSMUSG00000096872","Scgb2a2","ENSG00000110484","SCGB2A2"
"ENSMUSG00000096872","Scgb2a2","ENSG00000124939","SCGB2A1"
"ENSMUSG00000047293","Gpr15","ENSG00000154165","GPR15"
"ENSMUSG00000022744","Cldnd1","ENSG00000080822","CLDND1"
"ENSMUSG00002076484","Gm54995","",""
"ENSMUSG00000118138","Gm50322","",""
"ENSMUSG00000024660","Incenp","ENSG00000149503","INCENP"
"ENSMUSG00000109982","Gm45520","",""
"ENSMUSG00000038143","Stox2","ENSG00000173320","STOX2"
"ENSMUSG00000105134","Gm42923","",""
"ENSMUSG00000028085","Gatb","ENSG00000059691","GATB"
"ENSMUSG00000042501","Cpa6","ENSG00000165078","CPA6"
"ENSMUSG00000017204","Gsdma","ENSG00000167914","GSDMA"
"ENSMUSG00002074921","Gm54695","",""
"ENSMUSG00000077595","Gm26019","",""
"ENSMUSG00000071510","Or5k1b","ENSG00000231861","OR5K2"
"ENSMUSG00000071510","Or5k1b","ENSG00000232382","OR5K1"
"ENSMUSG00000030255","Sspn","ENSG00000123096","SSPN"
"ENSMUSG00000049362","Or5k1","ENSG00000231861","OR5K2"
"ENSMUSG00000049362","Or5k1","ENSG00000232382","OR5K1"
"ENSMUSG00000006529","Itih1","ENSG00000055957","ITIH1"
"ENSMUSG00002075799","Gm55075","",""
"ENSMUSG00000067047","Olfr719-ps","",""
"ENSMUSG00000060663","Or5k8","ENSG00000206536","OR5K3"
"ENSMUSG00000017221","Psmd3","ENSG00000108344","PSMD3"
"ENSMUSG00000029622","Arpc1b","ENSG00000130429","ARPC1B"
"ENSMUSG00000063137","Or5k14","ENSG00000206536","OR5K3"
"ENSMUSG00000026657","Frmd4a","ENSG00000151474","FRMD4A"
"ENSMUSG00000044029","Or5k15","ENSG00000196098","OR5K4"
"ENSMUSG00000064138","Arb2a","ENSG00000113391","ARB2A"
"ENSMUSG00000090629","Or5k16","ENSG00000196098","OR5K4"
"ENSMUSG00000108200","Gm43931","",""
"ENSMUSG00000108161","Gm32914","",""
"ENSMUSG00000030093","Wnt7a","ENSG00000154764","WNT7A"
"ENSMUSG00000103810","Gm38005","",""
"ENSMUSG00000083422","Gm15604","",""
"ENSMUSG00000062609","Kcnj15","ENSG00000157551","KCNJ15"
"ENSMUSG00000119312","Gm25253","",""
"ENSMUSG00000042641","Rgsl1","ENSG00000121446","RGSL1"
"ENSMUSG00000108804","Gm30437","",""
"ENSMUSG00000098240","Gm4575","",""
"ENSMUSG00000108810","Gm44629","",""
"ENSMUSG00000113687","Gm49703","",""
"ENSMUSG00000046432","Bex3","ENSG00000166681","BEX3"
"ENSMUSG00000055799","Tcf7l1","ENSG00000152284","TCF7L1"
"ENSMUSG00000113195","Gm48586","",""
"ENSMUSG00000115641","Gm9891","",""
"ENSMUSG00000085955","Gm12356","",""
"ENSMUSG00000115161","Gm20555","",""
"ENSMUSG00000113250","Gm48585","",""
"ENSMUSG00000113113","Gm2614","",""
"ENSMUSG00000115058","Gm19883","",""
"ENSMUSG00000109606","Gm45537","",""
"ENSMUSG00000115722","Gm8472","",""
"ENSMUSG00000038067","Csf3","ENSG00000108342","CSF3"
"ENSMUSG00000064572","Gm25801","",""
"ENSMUSG00000092710","Gm22857","",""
"ENSMUSG00000115839","Gm49233","",""
"ENSMUSG00000041886","Macc1","ENSG00000183742","MACC1"
"ENSMUSG00000047495","Dlgap2","ENSG00000198010","DLGAP2"
"ENSMUSG00000115806","Gm49234","",""
"ENSMUSG00000008690","Ncaph2","ENSG00000025770","NCAPH2"
"ENSMUSG00000113192","Gm18032","",""
"ENSMUSG00000028182","Lrriq3","ENSG00000162620","LRRIQ3"
"ENSMUSG00000113091","Gm9279","",""
"ENSMUSG00000114137","Gm48685","",""
"ENSMUSG00000032740","Ccdc88a","ENSG00000115355","CCDC88A"
"ENSMUSG00000112946","Gm9280","",""
"ENSMUSG00000113460","Gm48686","",""
"ENSMUSG00002075469","Gm54747","",""
"ENSMUSG00000114615","Gm48370","",""
"ENSMUSG00000048004","Tmem196","",""
"ENSMUSG00000060579","Fhit","ENSG00000189283","FHIT"
"ENSMUSG00000119032","n-R5s12","",""
"ENSMUSG00000083470","Nsa2-ps2","",""
"ENSMUSG00000083324","Gm14997","",""
"ENSMUSG00000083162","Gm4917","",""
"ENSMUSG00000084216","Btf3-ps3","",""
"ENSMUSG00000111797","Gm48081","",""
"ENSMUSG00000084245","Gm14994","",""
"ENSMUSG00000111439","Gm47633","",""
"ENSMUSG00000082261","Gm14999","",""
"ENSMUSG00000111681","Gm47640","",""
"ENSMUSG00000083517","Gm14998","",""
"ENSMUSG00000111738","Gm18329","",""
"ENSMUSG00000081507","Gm14993","",""
"ENSMUSG00000096589","Gm14992","",""
"ENSMUSG00000032285","Dnaja4","ENSG00000140403","DNAJA4"
"ENSMUSG00000095327","Gm14996","",""
"ENSMUSG00000081417","Gm15603","",""
"ENSMUSG00000103448","Gm37133","",""
"ENSMUSG00000031144","Syp","ENSG00000102003","SYP"
"ENSMUSG00000103192","Gm37645","",""
"ENSMUSG00000104488","Gm38062","",""
"ENSMUSG00000098707","Gm27236","",""
"ENSMUSG00000100212","Gm5522","",""
"ENSMUSG00000118325","Gm50324","",""
"ENSMUSG00002075984","Gm54998","",""
"ENSMUSG00000102721","A630081D01Rik","",""
"ENSMUSG00000118065","Gm50343","",""
"ENSMUSG00000100648","Gm28659","",""
"ENSMUSG00002076499","Gm54912","",""
"ENSMUSG00000099949","Gm29124","",""
"ENSMUSG00000029623","Pdap1","ENSG00000106244","PDAP1"
"ENSMUSG00000099918","Gm28066","",""
"ENSMUSG00000021185","Dglucy","ENSG00000133943","DGLUCY"
"ENSMUSG00000118183","Gm50345","",""
"ENSMUSG00000118123","Gm50346","",""
"ENSMUSG00000024661","Fth1","ENSG00000167996","FTH1"
"ENSMUSG00000026107","Nabp1","ENSG00000173559","NABP1"
"ENSMUSG00000108338","Gm44794","",""
"ENSMUSG00000108541","Gm44795","",""
"ENSMUSG00000108533","Gm44792","",""
"ENSMUSG00000090951","Or5k17","ENSG00000196098","OR5K4"
"ENSMUSG00000086755","Gm11216","",""
"ENSMUSG00000030714","Sgf29","ENSG00000176476","SGF29"
"ENSMUSG00000077214","Gm23950","",""
"ENSMUSG00000081941","Gm11218","",""
"ENSMUSG00000080805","Gm11219","",""
"ENSMUSG00000028370","Pappa","ENSG00000182752","PAPPA"
"ENSMUSG00000038722","Bud31","ENSG00000106245","BUD31"
"ENSMUSG00000108535","Gm45071","",""
"ENSMUSG00000062105","Or5h17","ENSG00000197938","OR5H2"
"ENSMUSG00000089795","Hmgb3-ps","",""
"ENSMUSG00000114691","Gm48438","",""
"ENSMUSG00000114467","Gm48430","",""
"ENSMUSG00000088689","Scarna17","ENSG00000252139",""
"ENSMUSG00000114391","Gm48439","",""
"ENSMUSG00000089235","Gm23119","",""
"ENSMUSG00000114749","Gm48442","",""
"ENSMUSG00000036880","Acaa2","ENSG00000167315","ACAA2"
"ENSMUSG00000065328","Gm22053","",""
"ENSMUSG00000037418","Best1","ENSG00000167995","BEST1"
"ENSMUSG00000114305","Gm48437","",""
"ENSMUSG00000093441","Mir5710","",""
"ENSMUSG00000061082","Plac1","ENSG00000170965","PLAC1"
"ENSMUSG00000032263","Bckdhb","ENSG00000083123","BCKDHB"
"ENSMUSG00000021918","Nek4","ENSG00000114904","NEK4"
"ENSMUSG00000104122","Gm37482","",""
"ENSMUSG00000103511","Gm5285","",""
"ENSMUSG00000108537","Olfr184-ps1","",""
"ENSMUSG00000103295","Scp2-ps1","",""
"ENSMUSG00000108451","Or5ad1-ps1","",""
"ENSMUSG00000103981","Gm37449","",""
"ENSMUSG00000104329","Gm37324","",""
"ENSMUSG00000065807","Gm23038","",""
"ENSMUSG00000047960","Or5h18","ENSG00000197938","OR5H2"
"ENSMUSG00000102443","Gm37102","",""
"ENSMUSG00000104377","Gm37515","",""
"ENSMUSG00000104553","9330178D15Rik","",""
"ENSMUSG00000031145","Prickle3","ENSG00000012211","PRICKLE3"
"ENSMUSG00000043357","Or5h19","ENSG00000197938","OR5H2"
"ENSMUSG00000104826","Gm42947","",""
"ENSMUSG00000093668","Pou5f2","ENSG00000248483","POU5F2"
"ENSMUSG00000105949","Gm6510","",""
"ENSMUSG00000104573","Gm42886","",""
"ENSMUSG00000021218","Gdi2","ENSG00000057608","GDI2"
"ENSMUSG00000025188","Hps1","ENSG00000107521","HPS1"
"ENSMUSG00000034203","Chchd4","ENSG00000163528","CHCHD4"
"ENSMUSG00000108565","Or5h21-ps1","",""
"ENSMUSG00000051000","Fhip1a","ENSG00000164142","FHIP1A"
"ENSMUSG00002075900","Gm54889","",""
"ENSMUSG00002075101","Gm54890","",""
"ENSMUSG00000064006","Or5h22","ENSG00000197938","OR5H2"
"ENSMUSG00000053846","Lipg","ENSG00000101670","LIPG"
"ENSMUSG00000094539","Or5h23","ENSG00000197938","OR5H2"
"ENSMUSG00000108464","Or5h24","",""
"ENSMUSG00000086662","BC046251","",""
"ENSMUSG00000060057","Or5h25","ENSG00000197938","OR5H2"
"ENSMUSG00000102577","Gm37969","",""
"ENSMUSG00000102931","Gm38114","",""
"ENSMUSG00000102983","Gm38320","",""
"ENSMUSG00000104501","Gm37736","",""
"ENSMUSG00000085371","Gm3160","",""
"ENSMUSG00000063020","Or5ac15","",""
"ENSMUSG00000030095","Tmem43","ENSG00000170876","TMEM43"
"ENSMUSG00000062608","Or5k3","ENSG00000206536","OR5K3"
"ENSMUSG00000088311","Gm26184","",""
"ENSMUSG00000030629","Zfand6","ENSG00000086666","ZFAND6"
"ENSMUSG00000038102","Trappc11","ENSG00000168538","TRAPPC11"
"ENSMUSG00000062328","Rpl17","",""
"ENSMUSG00000096695","Or5h26","ENSG00000197938","OR5H2"
"ENSMUSG00000029624","Ptcd1","ENSG00000106246","PTCD1"
"ENSMUSG00000109020","Or5h27","",""
"ENSMUSG00000052537","Or5ac16","",""
"ENSMUSG00000031146","Plp2","ENSG00000102007","PLP2"
"ENSMUSG00000019979","Apaf1","ENSG00000120868","APAF1"
"ENSMUSG00000028373","Astn2","ENSG00000148219","ASTN2"
"ENSMUSG00000074996","Or5ac17","",""
"ENSMUSG00000109537","Or5ac18","",""
"ENSMUSG00000074995","Or5ac19","",""
"ENSMUSG00000048810","Or5ac20","",""
"ENSMUSG00000064871","Snord58b","ENSG00000271982","SNORD58B"
"ENSMUSG00000064647","Gm23301","ENSG00000206602","SNORD58A"
"ENSMUSG00000064844","Gm26202","",""
"ENSMUSG00000118144","Gm50313","",""
"ENSMUSG00000050174","Nudt6","ENSG00000170917","NUDT6"
"ENSMUSG00000068182","Or5ac21","",""
"ENSMUSG00000036299","BC031181","ENSG00000177576","C18orf32"
"ENSMUSG00000095928","Or5ac22","",""
"ENSMUSG00000031147","Magix","ENSG00000269313","MAGIX"
"ENSMUSG00000094422","Or5ac23","",""
"ENSMUSG00000119127","Gm29163","ENSG00000207307","RNU6-145P"
